Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Flexion;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP
1736948398.0;;;;;;;;;;;;;;48.849485;2.356784;37.6;;;;
1736948399.0;;;;;;;;;;;;;;48.849499;2.356747;37.6;;;;
1736948400.0;;;;;;;;;;;;;;48.849513;2.356712;37.8;;;;
1736948401.0;;;;;;;;;;;;;;48.849523;2.356675;37.8;;;;
1736948402.0;;;;;;;;;;;;;;48.849533;2.356637;37.8;;;;
1736948403.0;;;;;;;;;;;;;;48.849544;2.356598;37.8;;;;
1736948404.0;;;;;;;;;;;;;;48.849554;2.356565;38.0;;;;
1736948405.0;;;;;;;;;;;;;;48.849568;2.356525;37.8;;;;
1736948406.0;;;;;;;;;;;;;;48.849582;2.356484;37.8;;;;
1736948407.0;;;;;;;;;;;;;;48.849593;2.356449;37.8;;;;
1736948408.0;;;;;;;;;;;;;;48.849605;2.356405;37.8;;;;
1736948409.0;;;;;;;;;;;;;;48.849619;2.356368;37.8;;;;
1736948410.0;;;;;;;;;;;;;;48.84963;2.356324;37.6;;;;
1736948411.0;;;;;;;;;;;;;;48.849645;2.356277;37.6;;;;
1736948412.0;;;;;;;;;;;;;;48.849659;2.356236;37.6;;;;
1736948413.0;;;;;;;;;;;;;;48.849677;2.356194;37.6;;;;
1736948414.0;;;;;;;;;;;;;;48.849692;2.356155;37.6;;;;
1736948415.0;;;;;;;;;;;;;;48.849707;2.356119;37.4;;;;
1736948416.0;;;;;;;;;;;;;;48.84972;2.356083;37.4;;;;
1736948417.0;;;;;;;;;;;;;;48.849732;2.356047;37.4;;;;
1736948418.0;;;;;;;;;;;;;;48.849746;2.356016;37.4;;;;
1736948419.0;;;;;;;;;;;;;;48.849758;2.355978;37.4;;;;
1736948420.0;;;;;;;;;;;;;;48.849775;2.355942;37.4;;;;
1736948421.0;;;;;;;;;;;;;;48.849789;2.355908;37.4;;;;
1736948422.0;;;;;;;;;;;;;;48.849796;2.355874;37.4;;;;
1736948423.0;;;;;;;;;;;;;;48.849809;2.355836;37.4;;;;
1736948424.0;;;;;;;;;;;;;;48.849826;2.3558;37.2;;;;
1736948425.0;;;;;;;;;;;;;;48.849838;2.355763;37.0;;;;
1736948426.0;;;;;;;;;;;;;;48.849851;2.355725;37.0;;;;
1736948427.0;;;;;;;;;;;;;;48.849865;2.355684;37.0;;;;
1736948428.0;;;;;;;;;;;;;;48.84988;2.355644;37.0;;;;
1736948429.0;;;;;;;;;;;;;;48.849884;2.355618;37.2;;;;
1736948430.0;;;;;;;;;;;;;;48.849896;2.355578;37.4;;;;
1736948431.0;;;;;;;;;;;;;;48.849909;2.35554;37.4;;;;
1736948432.0;;;;;;;;;;;;;;48.849923;2.355499;37.6;;;;
1736948433.0;;;;;;;;;;;;;;48.849933;2.355464;37.6;;;;
1736948434.0;;;;;;;;;;;;;;48.849941;2.355428;37.8;;;;
1736948435.0;;;;;;;;;;;;;;48.849952;2.355397;38.0;;;;
1736948436.0;;;;;;;;;;;;;;48.849963;2.355362;38.0;;;;
1736948437.0;;;;;;;;;;;;;;48.849971;2.355322;38.2;;;;
1736948438.0;;;;;;;;;;;;;;48.849989;2.355279;38.2;;;;
1736948439.0;;;;;;;;;;;;;;48.849999;2.355243;38.2;;;;
