Timer;Latitude;Longitude;Altitude;Vitesse;Allure
1736948894.0;48.856291;2.34026;39.0;12.432080462235394;4.826223590030682
1736948895.0;48.856315;2.340225;39.0;13.3345473494143;4.499590306875726
1736948896.0;48.856334;2.340187;39.0;12.595015296417056;4.763789371265662
1736948897.0;48.856357;2.340145;38.8;14.418496756823881;4.161321461726143
1736948898.0;48.856371;2.340111;38.8;10.587237896595918;5.667200509331297
1736948899.0;48.856391;2.340072;38.6;13.048320336129487;4.598292995142526
1736948900.0;48.85641;2.340036;38.6;12.178071556899013;4.926888442038209
1736948901.0;48.856431;2.340004;38.6;11.922458793792583;5.032518965906508
1736948902.0;48.856451;2.339975;38.2;11.081624032174828;5.41436885295816
1736948903.0;48.856471;2.339937;38.0;12.840741216035763;4.672627459002978
1736948904.0;48.856492;2.339899;37.8;13.094116067595227;4.582210795311759
1736948905.0;48.856513;2.339866;37.8;12.111193928712202;4.954094563522514
1736948906.0;48.856531;2.339834;37.6;11.108214389910675;5.401408173621187
1736948907.0;48.856548;2.339803;37.6;10.64828946518632;5.634707827596622
1736948908.0;48.856569;2.339776;37.6;11.025297845386273;5.442029851838247
1736948909.0;48.856583;2.339752;37.6;8.462384502834377;7.090200165202101
1736948910.0;48.856595;2.339718;37.6;10.185996533610558;5.890439860451457
1736948911.0;48.856623;2.339676;37.4;15.772196590137186;3.8041625753967425
1736948912.0;48.856645;2.339642;37.4;12.579677112201983;4.769597777815891
1736948913.0;48.856659;2.339608;37.2;10.587194333094656;5.667223828360756
1736948914.0;48.856675;2.339574;37.2;11.0320082367752;5.438719652147285
1736948915.0;48.856696;2.339543;37.0;11.736594819787385;5.112215333432371
1736948916.0;48.856713;2.339512;37.0;10.648268891422594;5.634718714544415
1736948917.0;48.85673;2.339481;37.0;10.648266776438499;5.63471983372566
1736948918.0;48.856742;2.339449;37.0;9.72327678471061;6.17075923358956
1736948919.0;48.856755;2.339417;37.0;9.927183897748641;6.044010125933824
1736948920.0;48.856768;2.339387;37.2;9.481313672085689;6.328237001234162
1736948921.0;48.85679;2.339352;37.2;12.76961783148339;4.698652754671364
1736948922.0;48.856807;2.339315;37.2;11.910440269873671;5.037597153462438
1736948923.0;48.856825;2.339283;37.2;11.108176958398055;5.401426374886703
1736948924.0;48.85684;2.339247;37.2;11.247502812008015;5.334517448259096
1736948925.0;48.856851;2.339218;37.2;8.836537892608224;6.789989555772752
1736948926.0;48.856866;2.339186;37.0;10.369384447739568;5.7862643922976025
1736948927.0;48.856874;2.339155;37.0;8.793352687334075;6.823336005437819
1736948928.0;48.85689;2.339112;37.0;13.040971423896444;4.600884247783507
1736948929.0;48.856901;2.339079;37.0;9.766855257480858;6.14322608641542
1736948930.0;48.856912;2.339047;36.8;9.5318033606129;6.2947165116656345
1736948931.0;48.856929;2.339007;36.8;12.568965998840083;4.773662368530319
1736948932.0;48.856946;2.338972;36.6;11.4807991492605;5.226117034184394
1736948933.0;48.856963;2.338932;36.6;12.56895999718187;4.7736646479464335
1736948934.0;48.856983;2.338899;36.6;11.836734435746791;5.0689656277833475
1736948935.0;48.856999;2.338866;36.6;10.817969209405307;5.546327488881655
1736948936.0;48.857012;2.33883;36.4;10.841136108020033;5.534475298729377
1736948937.0;48.857027;2.338796;36.6;10.80442114002878;5.553282237186117
1736948938.0;48.857045;2.338769;36.6;10.139226940984656;5.91761091345818
1736948939.0;48.857056;2.338736;36.6;9.766831289158604;6.143241162218222
1736948940.0;48.857072;2.338704;36.6;10.606229917600121;5.657052549882517
1736948941.0;48.857096;2.338671;36.4;12.973687122980142;4.624745412098207
1736948942.0;48.857119;2.338639;36.4;12.499895579251334;4.8000400979024525
1736948943.0;48.85714;2.33861;36.6;11.374186593596788;5.2751024881003445
1736948944.0;48.857163;2.338583;36.4;11.64733059726713;5.151394948304987
1736948945.0;48.857184;2.338564;36.6;9.791559081204772;6.127726902569788
1736948946.0;48.857209;2.338542;36.6;11.573639210514477;5.184194781663049
1736948947.0;48.857232;2.338512;36.6;12.148810438658893;4.938755140097766
1736948948.0;48.857257;2.338484;36.6;12.445275041275252;4.821106789605501
1736948949.0;48.857283;2.338457;36.6;12.618267494704343;4.7550109414926345
1736948950.0;48.857304;2.338434;36.6;10.372971707262648;5.7842633425858985
1736948951.0;48.857326;2.338415;36.6;10.137374773046165;5.918692101581511
