Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
207588;18960;2348;-260;-12089;-160;953;14696;-1244;32767;40;412;14;;;;;;;;
209720;18892;2020;-308;-12174;-179;935;14652;-1208;32767;21;394;30;;;;;;;;
211745;18840;2000;-304;-12168;-174;901;14680;-1272;32767;25;387;32;;;;;;;;
213765;18856;2228;-300;-12134;-167;937;14616;-1224;32767;28;400;35;;;;;;;;
216149;18832;2272;-140;-11967;-177;924;14676;-1224;32767;55;387;47;;;;;;;;
218169;18852;2096;-260;-12087;-178;920;14708;-1280;32767;29;397;33;;;;;;;;
220191;18868;2088;-380;-12048;-171;872;14776;-1272;32767;31;396;34;;;;;;;;
222325;18848;2100;-356;-12003;-175;944;14732;-1244;32767;43;402;41;;;;;;;;
224347;18780;2084;-280;-12076;-172;880;14728;-1284;32767;27;386;19;;;;;;;;
226384;18888;2016;-412;-11983;-175;931;14692;-1304;32767;36;376;35;;;;;;;;
228603;18836;2080;-188;-12024;-164;1004;14724;-1340;32767;33;403;24;;;;;;;;
230625;18860;2284;-340;-12181;-180;941;14660;-1276;32767;40;373;29;;;;;;;;
232645;18872;2216;-340;-12162;-180;961;14724;-1192;32767;46;403;21;;;;;;;;
234809;18924;2340;-276;-12213;-164;883;14688;-1268;32767;24;409;39;;;;;;;;
236829;18864;2140;-192;-12028;-174;981;14680;-1272;32767;36;377;22;;;;;;;;
238851;18900;2328;-204;-12084;-147;861;14768;-1252;32767;31;390;16;;;;;;;;
241224;18768;2192;-300;-11975;-182;845;14672;-1236;32767;45;422;28;;;;;;;;
243246;18904;2340;-320;-12134;-189;932;14708;-1176;32767;29;386;25;;;;;;;;
245266;18900;2080;-300;-12117;-167;905;14824;-1232;32767;30;392;17;;;;;;;;
248032;18888;2240;-328;-12092;-154;915;14756;-1276;32767;32;397;19;;;;;;;;
250052;18868;2212;-316;-12190;-183;918;14724;-1264;32767;37;419;40;;;;;;;;
252074;18924;2452;-404;-12088;-169;890;14744;-1268;32767;55;406;18;;;;;;;;
254540;18968;2172;-328;-12018;-152;978;14664;-1324;32767;40;402;33;;;;;;;;
256560;18888;2256;-248;-12091;-167;850;14772;-1216;32767;28;401;43;;;;;;;;
258582;18892;2280;-356;-12070;-177;965;14692;-1256;32767;41;402;32;;;;;;;;
261068;18916;2252;-336;-12071;-172;952;14728;-1268;32767;34;392;40;;;;;;;;
263090;18888;1916;-480;-12189;-195;857;14712;-1292;32767;44;402;31;;;;;;;;
265110;18992;2236;-400;-12053;-207;907;14688;-1236;32767;38;394;13;;;;;;;;
267321;18976;2156;-384;-12115;-184;907;14704;-1240;32767;51;392;32;;;;;;;;
269346;18832;2212;-404;-11983;-161;961;14692;-1236;32767;44;393;26;;;;;;;;
271366;18888;2096;-280;-12178;-182;945;14748;-1272;32767;30;409;20;;;;;;;;
273820;18868;2184;-328;-12013;-193;865;14740;-1312;32767;36;419;28;;;;;;;;
275840;18896;2208;-324;-11996;-175;985;14724;-1184;32767;64;392;21;;;;;;;;
277861;18884;2460;-200;-12143;-158;959;14696;-1216;32767;49;391;37;;;;;;;;
280235;18908;2228;-232;-12041;-185;853;14684;-1264;32767;31;391;27;;;;;;;;
282257;19000;2212;-388;-12035;-159;891;14716;-1216;32767;28;403;18;;;;;;;;
284282;18948;2208;-400;-12159;-182;906;14644;-1260;32767;33;401;37;;;;;;;;
286416;18792;2192;-312;-12112;-186;912;14736;-1276;32767;38;393;30;;;;;;;;
288438;18892;2152;-284;-12100;-183;977;14780;-1232;32767;48;396;37;;;;;;;;
290458;18896;1996;-320;-12103;-186;844;14784;-1240;32767;26;376;33;;;;;;;;
292919;18872;2364;-304;-12096;-167;987;14664;-1252;32767;43;405;30;;;;;;;;
294941;18956;2492;-344;-12081;-180;907;14756;-1272;32767;11;390;38;;;;;;;;
296968;18892;2136;-236;-12256;-179;930;14684;-1252;32767;51;378;22;;;;;;;;
