Timer;Accel1X;Accel1Y;Accel1Z;Gyro1X;Gyro1Y;Gyro1Z;Accel2X;Accel2Y;Accel2Z;Gyro2X;Gyro2Y;Gyro2Z;Flexion;Latitude;Longitude;Altitude;Vitesse;Orientation;Satellites;HDOP;
194999;18804;228;964;-12029;-127;857;14580;-2284;32767;41;402;1;0;;;;;;;;
197168;18796;496;1084;-12008;-155;862;14568;-2220;32767;49;418;44;0;;;;;;;;
199193;18816;272;948;-12217;-150;861;14584;-2292;32767;37;389;0;0;;;;;;;;
201251;18792;552;908;-12078;-175;912;14632;-2176;32767;59;384;45;0;;;;;;;;
203953;18820;712;1024;-12035;-193;969;14532;-2224;32767;44;378;22;0;;;;;;;;
205978;18764;304;868;-12152;-142;968;14444;-2260;32767;45;423;45;0;;;;;;;;
208003;18840;480;896;-12116;-167;963;14528;-2228;32767;42;410;38;0;;;;;;;;
210257;18668;324;912;-12088;-176;943;14564;-2268;32767;53;412;8;0;;;;;;;;
212282;18752;300;1076;-12072;-181;873;14652;-2288;32767;49;377;34;0;;;;;;;;
214307;18744;276;888;-12032;-181;868;14504;-2292;32767;48;366;36;0;;;;;;;;
216556;18732;164;1012;-12183;-194;915;14540;-2264;32767;35;366;57;0;;;;;;;;
218581;18776;232;972;-12190;-152;882;14568;-2296;32767;66;414;20;0;;;;;;;;
220606;18856;340;1040;-11989;-142;932;14544;-2232;32767;68;395;13;0;;;;;;;;
222855;18928;380;904;-12155;-200;922;14668;-2272;32767;68;380;60;0;;;;;;;;
224896;18880;404;644;-12172;-176;921;14492;-2360;32767;82;402;26;0;;;;;;;;
226922;18668;396;724;-12123;-124;982;14324;-2232;32767;30;401;-21;0;;;;;;;;
229076;18724;236;844;-12019;-1;943;14588;-2200;32767;9;563;-152;0;;;;;;;;
231101;18712;528;784;-11977;-195;897;14472;-2196;32767;68;374;18;0;;;;;;;;
233126;18792;364;764;-12093;-141;875;14668;-2380;32767;54;419;22;0;;;;;;;;
235456;18912;576;700;-12089;-172;871;14552;-2220;32767;63;427;36;0;;;;;;;;
237481;18672;512;764;-12133;-167;886;14556;-2272;32767;56;384;38;0;;;;;;;;
239510;18848;404;700;-12163;-184;828;14504;-2212;32767;57;383;24;0;;;;;;;;
241760;18848;372;872;-12139;-149;947;14576;-2224;32767;44;413;27;0;;;;;;;;
243785;18848;384;772;-12061;-175;958;14568;-2208;32767;47;385;38;0;;;;;;;;
245810;18836;356;944;-12027;-170;878;14544;-2252;32767;46;403;38;0;;;;;;;;
248065;18900;424;772;-12037;-167;1041;14524;-2244;32767;39;383;-5;0;;;;;;;;
250090;18784;772;860;-12148;-149;940;14548;-2212;32767;38;392;47;0;;;;;;;;
252115;18724;476;848;-12078;-191;852;14476;-2232;32767;51;397;0;0;;;;;;;;
254456;18860;444;732;-12016;-161;971;14588;-2216;32767;56;393;12;0;;;;;;;;
256481;18784;372;764;-12113;-168;895;14580;-2248;32767;58;393;27;0;;;;;;;;
258506;18868;468;764;-12105;-198;902;14648;-2180;32767;40;383;-1;0;;;;;;;;
260897;18832;464;760;-12103;-179;969;14584;-2212;32767;65;371;37;0;;;;;;;;
262922;18800;344;548;-12083;-181;856;14544;-2244;32767;65;410;8;0;;;;;;;;
264947;18724;436;800;-12129;-184;920;14524;-2256;32767;51;391;16;0;;;;;;;;
267363;18732;376;820;-12038;-198;970;14628;-2204;32767;48;389;40;0;;;;;;;;
269388;18768;344;740;-12025;-196;920;14540;-2224;32767;46;385;46;0;;;;;;;;
271413;18844;140;808;-12112;-130;845;14520;-2292;32767;29;434;36;0;;;;;;;;
273662;18800;316;548;-12106;-185;933;14544;-2240;32767;39;405;24;0;;;;;;;;
275687;18856;220;796;-12091;-184;895;14584;-2252;32767;70;408;27;0;;;;;;;;
277712;18796;48;880;-12126;-166;867;14532;-2184;32767;43;399;32;0;;;;;;;;
279961;18792;360;692;-12149;-144;907;14620;-2272;32767;51;415;15;0;;;;;;;;
282002;18868;236;696;-12102;-203;893;14680;-2280;32767;51;388;9;0;;;;;;;;
284027;18768;352;696;-12010;-162;911;14488;-2260;32767;49;409;39;0;;;;;;;;
286357;18912;428;636;-12087;-157;928;14552;-2180;32767;45;391;14;0;;;;;;;;
288382;18808;300;836;-12088;-197;853;14524;-2232;32767;62;404;15;0;;;;;;;;
290407;18876;432;792;-12066;-178;1035;14592;-2452;32767;63;375;58;0;;;;;;;;
292754;18804;260;668;-12152;-179;864;14536;-2248;32767;51;388;40;0;;;;;;;;
294779;18932;500;752;-11973;-158;868;14452;-2260;32767;41;397;25;0;;;;;;;;
296809;18812;400;696;-12036;-171;900;14536;-2160;32767;71;398;30;0;;;;;;;;
299064;18836;424;704;-12232;-158;937;14520;-2240;32767;20;387;22;0;;;;;;;;
301089;18876;404;684;-12164;-150;824;14552;-2248;32767;34;407;20;0;;;;;;;;
303114;18752;428;792;-12048;-164;892;14544;-2144;32767;68;389;31;0;;;;;;;;
305704;18660;492;748;-12082;-177;948;14548;-2156;32767;43;380;23;0;;;;;;;;
307729;18844;156;932;-12105;-205;907;14560;-2400;32767;52;375;15;0;;;;;;;;
309754;18788;560;780;-12078;-159;967;14548;-2264;32767;50;408;32;0;;;;;;;;
312458;18800;160;844;-12132;-182;952;14480;-2168;32767;47;407;19;0;;;;;;;;
314483;18832;328;768;-12046;-160;977;14512;-2188;32767;55;417;28;0;;;;;;;;
316508;18852;420;776;-12080;-186;878;14564;-2168;32767;59;411;20;0;;;;;;;;
318777;18748;116;804;-12025;-197;900;14520;-2168;32767;43;386;36;0;;;;;;;;
320805;18828;456;680;-12146;-170;944;14496;-2240;32767;56;380;13;0;;;;;;;;
322832;18864;356;820;-12042;-156;882;14536;-2296;32767;41;442;30;0;;;;;;;;
325086;18884;592;716;-12236;-144;865;14548;-2096;32767;55;386;12;0;;;;;;;;
327111;18720;432;640;-12081;-166;837;14588;-2180;32767;45;399;12;0;;;;;;;;
329136;18740;244;828;-11965;-146;945;14540;-2184;32767;48;417;33;0;;;;;;;;
332454;18908;252;644;-12008;-148;913;14572;-2228;32767;48;388;2;0;;;;;;;;
334479;18816;364;548;-12029;-167;828;14580;-2200;32767;51;377;50;0;;;;;;;;
336504;18784;76;848;-12085;-152;823;14524;-2220;32767;39;403;26;0;;;;;;;;
338685;18836;280;692;-12079;-174;824;14564;-2204;32767;53;401;18;0;;;;;;;;
340724;18696;480;760;-12143;-172;880;14488;-2184;32767;65;405;55;0;;;;;;;;
342750;18836;476;672;-12171;-176;914;14548;-2196;32767;65;376;35;0;;;;;;;;
345150;18748;348;644;-12061;-183;920;14480;-2280;32767;50;401;31;0;;;;;;;;
347175;18832;412;624;-12099;-182;925;14540;-2200;32767;39;396;32;0;;;;;;;;
